Jenis Cost	TL1 (TL)	TL2 (TL)	PR_Ambon (PR)	PL1 (PL)	PR_Tual (PR)	PR_Saumlaki (PR)	
Travel Cost	3954022719.0	3133540007.0	1369192994.0	5921935174.0	521734165.0	1980588486.0	
Bongkar-Muat Cost	26346600.0	22837200.0	16956000.0	70007400.0	12351000.0	46667400.0	
Storage Cost	22270860.0	18698930.0	16452630.0	134123720.0	20514160.0	44620760.0	
Inventory Cost	16400.0	14777.0	64667.0	93284.0	151994.0	159603.0	
Total Cost	4002656579.0	3175090914.0	1402666291.0	6126159578.0	554751319.0	2072036249.0	
