Generation	Route	Itteration	Cost
0	1	19126	13859455491.0
0	2	17934	15719721463.0
1	1	19126	13859455491.0
1	2	19190	17856390239.0
1	1		13859455491.0
2	1	19126	13859455491.0
2	2	19455	14264825762.0
2	1		13859455491.0
3	1	19126	13859455491.0
3	2	16217	15199083189.0
3	1		13859455491.0
4	1	19126	13859455491.0
4	2	19266	19366973382.0
4	1		13859455491.0
5	1	19126	13859455491.0
5	2	18080	17157864149.0
5	1		13859455491.0
