Generation	Route	Itteration	Cost
0	1	18149	14533353926.0
0	2	17888	16287239494.0
1	1	18149	14533353926.0
1	2	17466	14155102875.0
1	2		14155102875.0
2	1	17466	14155102875.0
2	2	20469	16979978353.0
2	1		14155102875.0
3	1	17466	14155102875.0
3	2	20416	16481108058.0
3	1		14155102875.0
4	1	17466	14155102875.0
4	2	22974	17325843117.0
4	1		14155102875.0
5	1	17466	14155102875.0
5	2	19415	15104950770.0
5	1		14155102875.0
