Generation	Route	Itteration	Cost
0	1	20115	16942808026.0
0	2	20381	16336186497.0
0	3	19183	15823384169.0
0	4	16784	16190693174.0
0	5	19356	17142888208.0
1	1	21404	18455674053.0
1	2	19558	16398301617.0
1	3	20381	16336186497.0
1	4	19297	15930026615.0
1	5	18892	18626681572.0
1	4		15930026615.0
2	1	22344	15096029486.0
2	2	22243	16721321822.0
2	3	18419	18268364312.0
2	4	20266	16382052593.0
2	5	18563	16255170866.0
2	1		15096029486.0
