Jenis Cost	TL1 (TL)	TL2 (TL)	PR_Ambon (PR)	PL1 (PL)	PR_Tual (PR)	PR_Saumlaki (PR)	
Travel Cost	70485980.0	34947953.0	337743830.0	1393591341.0	61069783.0	1028178214.0	
Bongkar-Muat Cost	0.0	0.0	176400.0	32294400.0	239400.0	994800.0	
Storage Cost	0.0	0.0	461840.0	156635420.0	620090.0	1453220.0	
Inventory Cost	0.0	0.0	4131.0	64632.0	5691.0	9611.0	
Total Cost	70485980.0	34947953.0	338386201.0	1582585793.0	61934964.0	1030635845.0	
