Generation	Route	Itteration	Cost
0	1	18282	13842612248.0
0	2	21130	16652210341.0
1	1	18282	13842612248.0
1	2	16461	11461161120.0
1	2		11461161120.0
2	1	17641	14341624012.0
2	2	23991	18758440749.0
2	1		14341624012.0
3	1	17641	14341624012.0
3	2	71974	25198302618.0
3	1		14341624012.0
4	1	17641	14341624012.0
4	2	18796	17764073725.0
4	1		14341624012.0
5	1	17641	14341624012.0
5	2	215923	77780991431.0
5	1		14341624012.0
