Generation	Route	Itteration	Cost
0	1	18655	15772013037.0
0	2	17933	17418015942.0
1	1	18655	15772013037.0
1	2	20086	16324581077.0
1	1		15772013037.0
2	1	18655	15772013037.0
2	2	20682	20271921490.0
2	1		15772013037.0
3	1	18655	15772013037.0
3	2	19306	19262489344.0
3	1		15772013037.0
