Generation	Route	Itteration	Cost
0	1	18598	16297545293.0
0	2	55795	22163213069.0
1	1	18598	16297545293.0
1	2	16635	15335145140.0
1	2		15335145140.0
2	1	16635	15335145140.0
2	2	17619	13821328827.0
2	2		13821328827.0
3	1	17619	13821328827.0
3	2	18366	16691090576.0
3	1		13821328827.0
4	1	17619	13821328827.0
4	2	17254	16522385351.0
4	1		13821328827.0
5	1	17619	13821328827.0
5	2	19255	16011396775.0
5	1		13821328827.0
